Time,Current,Voltage,Pressure,Power
1411548139.368013,1.657000e-09,0.000000e+00,-1.646984e+00,0.000000e+00
1411548140.136877,2.114000e-09,6.825000e-03,-1.420083e+00,3.607012e-12
1411548140.911088,2.237500e-09,7.175000e-03,-1.713489e+00,4.013516e-12
1411548141.674887,2.255500e-09,7.300000e-03,-1.690016e+00,4.116288e-12
1411548142.442574,2.411000e-09,7.650000e-03,-1.678280e+00,4.611037e-12
1411548143.207008,2.359000e-09,8.075000e-03,-1.650896e+00,4.762231e-12
1411548143.976415,2.399000e-09,7.850000e-03,-1.510061e+00,4.708037e-12
1411548144.916419,2.415500e-09,8.050000e-03,1.521680e+02,4.861194e-12
1411548145.663940,1.135500e-07,2.963250e-01,2.710442e+02,8.411926e-09
1411548146.389865,1.023000e-07,2.509000e-01,2.641902e+02,6.416767e-09
1411548147.115979,9.620000e-08,2.303250e-01,2.605911e+02,5.539316e-09
1411548147.866247,9.280000e-08,2.195750e-01,2.604229e+02,5.094140e-09
1411548148.607960,8.933500e-08,2.146750e-01,2.608532e+02,4.794498e-09
1411548149.352900,8.731500e-08,2.091500e-01,2.603877e+02,4.565483e-09
1411548150.094124,8.581000e-08,2.052250e-01,2.602038e+02,4.402589e-09
1411548150.839769,8.431000e-08,2.016000e-01,2.604073e+02,4.249224e-09
1411548151.596345,8.286000e-08,1.982750e-01,2.602703e+02,4.107267e-09
1411548152.341119,8.170000e-08,1.960000e-01,2.597931e+02,4.003300e-09
1411548153.081193,8.052500e-08,1.933750e-01,2.604073e+02,3.892880e-09
1411548153.819314,7.981000e-08,1.910500e-01,2.605285e+02,3.811925e-09
1411548154.577680,7.879500e-08,1.875750e-01,2.601178e+02,3.694993e-09
1411548155.317963,7.825500e-08,1.871500e-01,2.592376e+02,3.661356e-09
1411548156.062337,7.822000e-08,1.857250e-01,2.608572e+02,3.631852e-09
1411548156.805258,7.790500e-08,1.846750e-01,2.611819e+02,3.596776e-09
1411548157.570118,7.795500e-08,1.848750e-01,2.612797e+02,3.602983e-09
1411548158.311150,7.837000e-08,1.859000e-01,2.608454e+02,3.642246e-09
1411548159.043512,7.746500e-08,1.837250e-01,2.602038e+02,3.558064e-09
1411548159.782181,7.731000e-08,1.821500e-01,2.607320e+02,3.520504e-09
1411548160.523948,7.676500e-08,1.813750e-01,2.615418e+02,3.480813e-09
1411548161.277315,7.633000e-08,1.808000e-01,2.613227e+02,3.450116e-09
