Time,Current,Voltage,Pressure,Power
1411548738.185509,9.455000e-10,0.000000e+00,-3.833833e+00,0.000000e+00
1411548738.956795,1.188000e-09,4.050000e-03,-3.896427e+00,1.202850e-12
1411548739.722791,1.287000e-09,4.125000e-03,-3.536516e+00,1.327219e-12
1411548740.488729,1.283500e-09,4.300000e-03,-3.943372e+00,1.379762e-12
1411548741.271028,1.328000e-09,4.225000e-03,-4.021613e+00,1.402700e-12
1411548742.035392,1.396500e-09,4.250000e-03,-4.162448e+00,1.483781e-12
1411548742.801050,1.371500e-09,4.475000e-03,-3.865130e+00,1.534366e-12
1411548743.560017,1.489000e-09,4.475000e-03,-3.896427e+00,1.665819e-12
1411548744.327821,1.399000e-09,3.950000e-03,-3.896427e+00,1.381513e-12
1411548745.104859,1.341500e-09,4.150000e-03,-4.256338e+00,1.391806e-12
1411548745.877569,1.347500e-09,4.375000e-03,-3.818185e+00,1.473828e-12
1411548746.652610,1.335000e-09,4.525000e-03,-3.912075e+00,1.510219e-12
1411548747.416701,1.391000e-09,4.450000e-03,-3.614757e+00,1.547487e-12
1411548748.177618,1.361500e-09,4.525000e-03,-3.880778e+00,1.540197e-12
1411548748.926060,1.357000e-09,4.500000e-03,-4.037261e+00,1.526625e-12
1411548749.703111,1.427500e-09,4.375000e-03,-3.990316e+00,1.561328e-12
1411548750.485742,1.413000e-09,4.425000e-03,-4.303282e+00,1.563131e-12
1411548751.256864,1.414500e-09,4.300000e-03,-4.005965e+00,1.520588e-12
1411548752.023762,1.355500e-09,4.575000e-03,-3.583461e+00,1.550353e-12
1411548752.791960,1.411000e-09,4.275000e-03,-3.943372e+00,1.508006e-12
1411548753.560992,1.288000e-09,4.475000e-03,-3.865130e+00,1.440950e-12
1411548754.313673,1.300500e-09,4.300000e-03,-3.943372e+00,1.398038e-12
1411548755.091090,1.273000e-09,4.375000e-03,-3.192253e+00,1.392344e-12
1411548755.858342,1.306000e-09,4.300000e-03,-3.786889e+00,1.403950e-12
1411548756.608430,1.359000e-09,4.175000e-03,-2.894935e+00,1.418456e-12
1411548757.337166,1.285500e-07,3.099500e-01,2.587603e+02,9.961018e-09
1411548758.089540,1.110000e-07,2.615000e-01,2.583691e+02,7.256625e-09
1411548758.834701,1.045500e-07,2.438000e-01,2.577431e+02,6.372323e-09
1411548759.576084,1.004000e-07,2.335500e-01,2.584473e+02,5.862105e-09
1411548760.296189,9.715000e-08,2.250250e-01,2.584630e+02,5.465295e-09
1411548761.035206,9.465000e-08,2.182000e-01,2.587916e+02,5.163158e-09
1411548761.785070,9.360000e-08,2.154750e-01,2.588229e+02,5.042115e-09
1411548762.522418,9.230000e-08,2.127250e-01,2.585569e+02,4.908629e-09
1411548763.264606,9.070000e-08,2.086250e-01,2.584630e+02,4.730572e-09
1411548764.000834,8.920000e-08,2.059500e-01,2.585412e+02,4.592685e-09
1411548764.792934,8.639500e-08,2.025750e-01,2.571642e+02,4.375367e-09
1411548765.531276,8.607000e-08,2.038500e-01,2.580248e+02,4.386342e-09
1411548766.275375,8.444500e-08,1.980000e-01,2.581344e+02,4.180028e-09
1411548767.014334,8.357500e-08,1.960000e-01,2.589794e+02,4.095175e-09
1411548767.761286,8.279500e-08,1.938500e-01,2.589324e+02,4.012453e-09
1411548768.507996,8.262000e-08,1.930250e-01,2.584630e+02,3.986931e-09
1411548769.246371,8.241000e-08,1.926250e-01,2.595271e+02,3.968557e-09
1411548769.987747,8.186000e-08,1.906500e-01,2.593549e+02,3.901652e-09
1411548770.730629,8.095500e-08,1.890500e-01,2.587916e+02,3.826136e-09
1411548771.489210,8.117500e-08,1.896750e-01,2.583691e+02,3.849217e-09
1411548772.217193,8.115000e-08,1.891000e-01,2.580092e+02,3.836366e-09
1411548772.944718,8.035500e-08,1.881250e-01,2.579935e+02,3.779196e-09
1411548773.689451,8.013000e-08,1.860500e-01,2.590107e+02,3.727047e-09
1411548774.432756,8.025000e-08,1.866250e-01,2.588542e+02,3.744164e-09
1411548775.178373,7.993000e-08,1.861250e-01,2.588542e+02,3.719243e-09
1411548775.928255,7.696500e-08,1.860000e-01,2.585569e+02,3.578873e-09
1411548776.704688,7.897000e-08,1.838250e-01,2.588698e+02,3.629165e-09
1411548777.470709,7.963500e-08,1.862500e-01,2.586195e+02,3.708005e-09
1411548778.266886,7.941000e-08,1.861000e-01,2.588385e+02,3.694550e-09
1411548779.036555,7.986000e-08,1.874250e-01,2.590107e+02,3.741940e-09
1411548779.791213,7.928500e-08,1.858000e-01,2.585725e+02,3.682788e-09
1411548780.532797,7.887500e-08,1.850000e-01,2.596366e+02,3.647969e-09
1411548781.279083,7.877000e-08,1.829750e-01,2.587759e+02,3.603235e-09
1411548782.024163,7.789000e-08,1.824250e-01,2.591202e+02,3.552271e-09
1411548782.789807,7.834500e-08,1.819000e-01,2.593080e+02,3.562739e-09
1411548783.600163,7.800500e-08,1.820750e-01,2.587446e+02,3.550690e-09
1411548784.349922,7.876000e-08,1.849250e-01,2.587290e+02,3.641173e-09
1411548785.104641,7.779500e-08,1.818500e-01,2.574928e+02,3.536755e-09
1411548785.859243,7.797500e-08,1.804000e-01,2.586977e+02,3.516672e-09
1411548786.616036,7.787500e-08,1.809500e-01,2.587603e+02,3.522870e-09
1411548787.355856,7.751000e-08,1.808000e-01,2.591046e+02,3.503452e-09
1411548788.106609,7.736000e-08,1.785500e-01,2.593549e+02,3.453157e-09
1411548788.866527,7.704000e-08,1.792250e-01,2.579309e+02,3.451873e-09
1411548789.598056,7.713500e-08,1.797750e-01,2.578370e+02,3.466736e-09
1411548790.322513,7.680500e-08,1.772750e-01,2.583065e+02,3.403902e-09
1411548791.074383,7.617500e-08,1.758000e-01,2.578840e+02,3.347891e-09
1411548791.814828,7.660000e-08,1.778250e-01,2.582752e+02,3.405349e-09
1411548792.561798,7.724000e-08,1.772250e-01,2.605598e+02,3.422215e-09
1411548793.291044,7.720000e-08,1.796250e-01,2.598557e+02,3.466763e-09
1411548794.035999,7.697500e-08,1.780500e-01,2.607789e+02,3.426350e-09
1411548794.792570,7.662500e-08,1.785500e-01,2.595427e+02,3.420348e-09
1411548795.539201,7.692000e-08,1.786500e-01,2.595896e+02,3.435439e-09
1411548796.276901,7.659500e-08,1.787000e-01,2.587290e+02,3.421882e-09
1411548797.016059,7.623000e-08,1.759750e-01,2.581970e+02,3.353644e-09
1411548797.765820,7.609000e-08,1.754250e-01,2.579622e+02,3.337022e-09
1411548798.508406,7.605500e-08,1.761750e-01,2.578683e+02,3.349747e-09
1411548799.247838,7.609500e-08,1.757000e-01,2.588072e+02,3.342473e-09
1411548799.986458,7.597500e-08,1.751250e-01,2.597461e+02,3.326280e-09
