Time,Current,Voltage,Pressure,Power
1411607082.149302,2.876000e-09,0.000000e+00,-3.419154e+00,0.000000e+00
1411607082.924234,3.247000e-09,1.080000e-02,-3.078803e+00,8.766900e-12
1411607083.684914,3.271500e-09,1.097500e-02,-2.926232e+00,8.976178e-12
1411607084.669225,3.336000e-09,1.112500e-02,-3.352648e+00,9.278250e-12
1411607085.435273,3.418500e-09,1.152500e-02,-3.078803e+00,9.849553e-12
1411607086.220094,3.370500e-09,1.160000e-02,-3.344824e+00,9.774450e-12
1411607087.016177,3.382000e-09,1.162500e-02,-3.215726e+00,9.828938e-12
1411607087.799658,3.406000e-09,1.180000e-02,-3.446538e+00,1.004770e-11
1411607088.567690,3.410500e-09,1.177500e-02,-3.203989e+00,1.003966e-11
1411607089.347725,3.501000e-09,1.167500e-02,-3.059243e+00,1.021854e-11
1411607090.129473,3.516000e-09,1.177500e-02,-3.074891e+00,1.035023e-11
1411607090.906818,3.525500e-09,1.187500e-02,-2.491992e+00,1.046633e-11
1411607091.694090,3.543500e-09,1.187500e-02,-3.106188e+00,1.051977e-11
1411607092.487279,3.490500e-09,1.210000e-02,-3.513043e+00,1.055876e-11
1411607093.252539,3.565500e-09,1.202500e-02,-2.742365e+00,1.071878e-11
1411607094.031935,3.504000e-09,1.215000e-02,-3.520868e+00,1.064340e-11
1411607094.829310,3.514000e-09,1.220000e-02,-3.477835e+00,1.071770e-11
1411607095.613105,3.537500e-09,1.222500e-02,-3.313528e+00,1.081148e-11
1411607096.395266,3.531000e-09,1.217500e-02,-3.172693e+00,1.074748e-11
1411607097.195496,3.573000e-09,1.207500e-02,-2.887111e+00,1.078599e-11
1411607097.977548,3.613000e-09,1.207500e-02,-3.168781e+00,1.090674e-11
1411607098.742747,3.620500e-09,1.210000e-02,-3.121836e+00,1.095201e-11
1411607099.538969,3.598500e-09,1.227500e-02,-3.016210e+00,1.104290e-11
1411607100.335878,3.638500e-09,1.227500e-02,-3.020122e+00,1.116565e-11
1411607101.118633,3.641500e-09,1.225000e-02,-3.086627e+00,1.115209e-11
1411607101.913157,3.640500e-09,1.232500e-02,-2.515464e+00,1.121729e-11
1411607102.711075,3.639000e-09,1.227500e-02,-3.102275e+00,1.116718e-11
1411607103.495295,3.633000e-09,1.235000e-02,-3.031858e+00,1.121689e-11
1411607104.278203,3.687500e-09,1.237500e-02,-3.329176e+00,1.140820e-11
1411607105.061506,3.648500e-09,1.250000e-02,-3.039682e+00,1.140156e-11
1411607105.833127,3.606500e-09,1.252500e-02,-3.446538e+00,1.129285e-11
1411607106.617559,3.684000e-09,1.235000e-02,-3.200077e+00,1.137435e-11
1411607107.414028,3.664500e-09,1.252500e-02,-3.020122e+00,1.147447e-11
1411607108.198715,3.700500e-09,1.247500e-02,-2.519376e+00,1.154093e-11
1411607108.963948,3.639000e-09,1.260000e-02,-3.470011e+00,1.146285e-11
1411607109.730416,1.247000e-07,4.279250e-01,3.113699e+02,1.334056e-08
1411607110.500278,1.074000e-07,3.957250e-01,2.648005e+02,1.062522e-08
1411607111.243090,1.043500e-07,3.824750e-01,2.617961e+02,9.977817e-09
1411607111.998396,1.038500e-07,3.815000e-01,2.654343e+02,9.904694e-09
1411607112.756106,1.018000e-07,3.737000e-01,2.619525e+02,9.510665e-09
1411607113.589403,9.974500e-08,3.720500e-01,2.602312e+02,9.277532e-09
1411607114.338070,9.990000e-08,3.741250e-01,2.588620e+02,9.343772e-09
1411607115.107755,1.009500e-07,3.683250e-01,2.591750e+02,9.295602e-09
1411607115.872993,9.370000e-08,3.479750e-01,2.395755e+02,8.151314e-09
1411607116.722601,9.532500e-08,3.442750e-01,2.456157e+02,8.204504e-09
1411607117.487958,9.526000e-08,3.460250e-01,2.517968e+02,8.240585e-09
1411607118.241519,9.660000e-08,3.478500e-01,2.543631e+02,8.400577e-09
1411607119.002378,9.750000e-08,3.484250e-01,2.551299e+02,8.492859e-09
1411607119.740092,1.001500e-07,3.553000e-01,2.608885e+02,8.895824e-09
1411607120.518129,9.828000e-08,3.555500e-01,2.574771e+02,8.735864e-09
1411607121.286479,9.779000e-08,3.600750e-01,2.559279e+02,8.802934e-09
1411607122.034164,9.617000e-08,3.445000e-01,2.519533e+02,8.282641e-09
1411607122.784927,9.454500e-08,3.409750e-01,2.498564e+02,8.059370e-09
1411607123.547891,9.541000e-08,3.419250e-01,2.512335e+02,8.155766e-09
1411607124.324673,9.560500e-08,3.416750e-01,2.534555e+02,8.166460e-09
1411607125.067965,9.548000e-08,3.419000e-01,2.554585e+02,8.161153e-09
1411607125.823922,9.517000e-08,3.405750e-01,2.547700e+02,8.103131e-09
1411607126.658256,9.200000e-08,3.392750e-01,2.547230e+02,7.803325e-09
1411607127.425536,9.410000e-08,3.338500e-01,2.545352e+02,7.853821e-09
1411607128.167101,9.419500e-08,3.332250e-01,2.535025e+02,7.847032e-09
1411607128.939921,9.423500e-08,3.332250e-01,2.530643e+02,7.850364e-09
1411607129.730943,9.443000e-08,3.348750e-01,2.539876e+02,7.905562e-09
1411607130.481655,9.444000e-08,3.380250e-01,2.537528e+02,7.980770e-09
1411607131.244476,9.431000e-08,3.368500e-01,2.540658e+02,7.942081e-09
1411607132.017004,9.441500e-08,3.386750e-01,2.538311e+02,7.994000e-09
1411607132.776342,9.477000e-08,3.396750e-01,2.538467e+02,8.047750e-09
1411607133.521129,9.441000e-08,3.388000e-01,2.533929e+02,7.996527e-09
1411607134.286453,9.432000e-08,3.406500e-01,2.537528e+02,8.032527e-09
1411607135.047030,9.422000e-08,3.399750e-01,2.529861e+02,8.008111e-09
1411607135.807533,9.455000e-08,3.412000e-01,2.534399e+02,8.065115e-09
1411607136.554514,9.400000e-08,3.400000e-01,2.537998e+02,7.990000e-09
1411607137.326605,9.465500e-08,3.388750e-01,2.534555e+02,8.019053e-09
1411607138.092360,9.422500e-08,3.400250e-01,2.544101e+02,8.009714e-09
1411607138.835987,9.450500e-08,3.403000e-01,2.545509e+02,8.040013e-09
1411607139.587788,9.423000e-08,3.408500e-01,2.546135e+02,8.029574e-09
1411607140.351973,9.417500e-08,3.416000e-01,2.544570e+02,8.042545e-09
1411607141.122199,9.396000e-08,3.412500e-01,2.551299e+02,8.015963e-09
1411607141.874439,9.455500e-08,3.432250e-01,2.564130e+02,8.113410e-09
1411607142.632165,9.432500e-08,3.419000e-01,2.548639e+02,8.062429e-09
1411607143.405343,9.391500e-08,3.391750e-01,2.536746e+02,7.963405e-09
1411607144.166182,9.388500e-08,3.419250e-01,2.536433e+02,8.025407e-09
1411607145.007929,9.449000e-08,3.415500e-01,2.537059e+02,8.068265e-09
1411607145.776019,9.323500e-08,3.382000e-01,2.543475e+02,7.883019e-09
1411607146.550988,9.401500e-08,3.404750e-01,2.543318e+02,8.002439e-09
1411607147.382057,9.110000e-08,3.401500e-01,2.548013e+02,7.746916e-09
1411607148.152906,9.335000e-08,3.378500e-01,2.547543e+02,7.884574e-09
1411607148.929874,9.319500e-08,3.382750e-01,2.608845e+02,7.881385e-09
1411607149.684895,9.375000e-08,3.380250e-01,2.658411e+02,7.922461e-09
1411607150.447766,9.294000e-08,3.381250e-01,2.541440e+02,7.856334e-09
1411607151.224817,9.359000e-08,3.400500e-01,2.547700e+02,7.956320e-09
1411607151.985858,9.362000e-08,3.402250e-01,2.558341e+02,7.962966e-09
1411607152.739041,9.387000e-08,3.393500e-01,2.562566e+02,7.963696e-09
1411607153.574975,9.055000e-08,3.392750e-01,2.580522e+02,7.680338e-09
1411607154.336643,9.239000e-08,3.359750e-01,2.543631e+02,7.760183e-09
1411607155.087868,9.345000e-08,3.366500e-01,2.545665e+02,7.864986e-09
1411607155.846471,9.314500e-08,3.375000e-01,2.549734e+02,7.859109e-09
1411607156.683918,9.020000e-08,3.370250e-01,2.560297e+02,7.599914e-09
1411607157.439281,9.276500e-08,3.358500e-01,2.562683e+02,7.788781e-09
1411607158.194247,9.305500e-08,3.371250e-01,2.558184e+02,7.842792e-09
