Time,Current,Voltage,Pressure,Power
1411615315.565008,3.700000e-11,0.000000e+00,-1.995158e+00,0.000000e+00
1411615316.338101,5.500000e-12,3.550000e-03,-1.877796e+00,4.881250e-15
1411615317.090668,3.650000e-11,7.425000e-03,-1.916917e+00,6.775313e-14
1411615317.876277,9.500000e-12,1.300000e-02,-2.190762e+00,3.087500e-14
1411615318.773669,3.600000e-11,4.410000e-02,-2.112521e+00,3.969000e-13
1411615319.556549,3.400000e-11,2.250000e-02,-2.151641e+00,1.912500e-13
1411615320.345965,1.850000e-11,9.700000e-03,-2.073400e+00,4.486250e-14
1411615321.135849,6.000000e-12,3.397500e-02,-2.308124e+00,5.096250e-14
1411615321.904141,2.000000e-12,4.550000e-02,-1.799555e+00,2.275000e-14
1411615322.702942,2.000000e-12,2.807500e-02,-2.347245e+00,1.403750e-14
1411615323.501728,4.500000e-12,4.082500e-02,-2.386366e+00,4.592812e-14
1411615324.286033,1.200000e-11,3.790000e-02,-2.308124e+00,1.137000e-13
1411615325.098998,1.700000e-11,4.495000e-02,-1.995158e+00,1.910375e-13
1411615325.970792,3.300000e-11,1.780000e-02,-2.425486e+00,1.468500e-13
1411615326.753702,5.500000e-12,4.477500e-02,-1.995158e+00,6.156563e-14
1411615327.541352,2.650000e-11,2.865000e-02,6.924373e+00,1.898062e-13
1411615328.331550,1.750000e-11,1.677500e-02,2.563192e+02,7.339063e-14
1411615329.100941,3.500000e-11,1.275000e-02,2.579622e+02,1.115625e-13
1411615329.914699,3.500000e-11,7.475000e-03,2.581187e+02,6.540625e-14
1411615330.837181,1.550000e-11,1.740000e-02,2.576493e+02,6.742500e-14
1411615331.618523,3.000000e-11,3.862500e-02,2.573363e+02,2.896875e-13
1411615332.402459,3.300000e-11,9.625000e-03,2.566712e+02,7.940625e-14
1411615333.193416,1.550000e-11,1.557500e-02,2.590576e+02,6.035313e-14
1411615333.992460,3.700000e-11,3.517500e-02,2.581578e+02,3.253687e-13
1411615334.807389,3.700000e-11,1.322500e-02,2.577275e+02,1.223313e-13
1411615335.576342,3.700000e-11,2.900000e-03,2.569060e+02,2.682500e-14
1411615336.361113,3.300000e-11,1.502500e-02,2.565930e+02,1.239562e-13
1411615337.164213,5.500000e-12,6.850000e-03,2.572189e+02,9.418750e-15
1411615337.953207,2.700000e-11,3.525000e-02,2.574145e+02,2.379375e-13
1411615338.735835,5.000000e-12,3.075000e-03,2.586273e+02,3.843750e-15
1411615339.517877,3.350000e-11,2.425000e-02,2.534242e+02,2.030938e-13
1411615340.305581,3.350000e-11,4.025000e-03,2.064793e+02,3.370938e-14
1411615341.077989,3.350000e-11,1.557500e-02,1.639551e+02,1.304406e-13
1411615341.880713,3.100000e-11,2.237500e-02,1.355925e+02,1.734063e-13
1411615342.680588,1.000000e-12,3.897500e-02,1.131763e+02,9.743750e-15
1411615343.469278,9.500000e-12,3.290000e-02,9.482870e+01,7.813750e-14
1411615344.267933,2.150000e-11,4.087500e-02,7.863271e+01,2.197031e-13
1411615345.083707,3.450000e-11,4.380000e-02,6.548814e+01,3.777750e-13
1411615345.874285,3.650000e-11,4.290000e-02,5.414312e+01,3.914625e-13
1411615346.677319,3.200000e-11,9.700000e-03,4.514535e+01,7.760000e-14
1411615347.480655,3.000000e-11,1.905000e-02,3.712559e+01,1.428750e-13
1411615348.266773,1.650000e-11,3.222500e-02,3.055331e+01,1.329281e-13
1411615349.068406,3.200000e-11,4.375000e-03,2.507640e+01,3.500000e-14
1411615349.870972,1.500000e-12,4.585000e-02,2.089048e+01,1.719375e-14
1411615350.652837,2.500000e-11,3.425000e-02,1.662632e+01,2.140625e-13
1411615351.442634,3.450000e-11,1.182500e-02,1.353578e+01,1.019906e-13
1411615352.248157,3.350000e-11,3.405000e-02,1.099293e+01,2.851687e-13
1411615353.017286,3.850000e-11,4.612500e-02,8.528323e+00,4.439531e-13
1411615353.802628,2.150000e-11,2.875000e-03,7.119977e+00,1.545312e-14
1411615354.587933,1.000000e-12,1.100000e-03,5.828992e+00,2.750000e-16
1411615355.375685,3.500000e-11,4.565000e-02,4.381524e+00,3.994375e-13
1411615356.164819,3.950000e-11,1.497500e-02,3.168781e+00,1.478781e-13
1411615356.962953,3.850000e-11,1.365000e-02,2.699332e+00,1.313813e-13
1411615357.752562,3.500000e-11,5.750000e-03,1.877796e+00,5.031250e-14
1411615358.529835,3.850000e-11,1.445000e-02,1.173623e+00,1.390812e-13
1411615359.323674,2.550000e-11,2.020000e-02,7.041735e-01,1.287750e-13
1411615360.108548,2.000000e-11,4.450000e-03,5.476905e-01,2.225000e-14
1411615360.879209,3.850000e-11,3.295000e-02,-1.564830e-01,3.171437e-13
1411615361.682909,3.500000e-11,1.647500e-02,-1.173623e-01,1.441562e-13
1411615362.486827,7.000000e-12,3.407500e-02,-1.173622e-01,5.963125e-14
1411615363.278665,2.300000e-11,1.575000e-03,-6.259320e-01,9.056250e-15
1411615364.118338,7.450000e-11,7.750000e-04,0.000000e+00,1.443437e-14
1411615364.904875,1.100000e-11,1.270000e-02,-3.912075e-01,3.492500e-14
1411615365.674629,1.200000e-11,4.532500e-02,-3.912075e-02,1.359750e-13
1411615366.476348,0.000000e+00,3.600000e-02,-4.694490e-01,0.000000e+00
1411615367.286184,5.550000e-11,1.215000e-02,-1.682192e+00,1.685813e-13
1411615368.071717,3.000000e-11,2.450000e-03,-1.525709e+00,1.837500e-14
1411615368.875992,5.000000e-13,9.287500e-02,-1.056260e+00,1.160937e-14
1411615369.675683,1.680000e-10,2.227500e-02,-2.190762e+00,9.355500e-13
1411615370.433308,2.950000e-11,1.639300e+00,-1.603951e+00,1.208984e-11
1411615371.219230,3.190000e-10,6.875000e-03,-2.425486e+00,5.482812e-13
1411615371.994827,5.845000e-10,1.285300e+00,-2.581970e+00,1.878145e-10
1411615372.787640,1.285000e-10,1.331100e+00,-1.603951e+00,4.276159e-11
1411615373.577065,4.345000e-10,3.263250e-01,-2.581970e+00,3.544705e-11
1411615374.381372,1.755000e-10,2.460000e-01,-2.229883e+00,1.079325e-11
1411615375.175643,2.295000e-10,9.217500e-02,-2.190762e+00,5.288541e-12
1411615375.963567,2.400000e-11,1.552000e-01,-1.995158e+00,9.312000e-13
1411615376.768973,6.050000e-11,6.502500e-02,-2.190762e+00,9.835031e-13
1411615377.612091,2.880000e-10,8.030000e-01,-2.034279e+00,5.781600e-11
1411615378.395234,7.680000e-11,6.993000e-01,-2.738453e+00,1.342656e-11
1411615379.199956,1.250000e-11,5.517500e-02,-1.877796e+00,1.724219e-13
1411615379.986352,1.530000e-11,1.060000e-02,-2.073400e+00,4.054500e-14
1411615380.774563,5.450000e-12,2.040000e-02,-2.621090e+00,2.779500e-14
1411615381.570951,1.320000e-11,2.125000e-03,-2.229883e+00,7.012500e-15
1411615382.357395,1.100000e-12,5.600000e-03,-2.073400e+00,1.540000e-15
1411615383.138373,5.150000e-12,4.625000e-03,-1.760434e+00,5.954687e-15
1411615383.920497,1.265500e-10,1.880000e-02,-1.956038e+00,5.947850e-13
1411615384.710797,1.350500e-09,2.354750e-01,-2.464607e+00,7.950225e-11
