Time,Current,Voltage,Pressure,Power
1411619020.528715,4.430000e-10,0.000000e+00,-6.218634e-01,0.000000e+00
1411619021.293066,5.055000e-10,2.675000e-03,1.136067e-01,3.380531e-13
1411619022.226233,5.685000e-10,2.500000e-03,-7.470498e-01,3.553125e-13
1411619023.025998,5.290000e-10,2.725000e-03,-1.367661e-01,3.603813e-13
1411619023.800618,5.735000e-10,2.675000e-03,4.068558e-03,3.835281e-13
1411619024.591942,4.910000e-10,2.875000e-03,-4.810287e-01,3.529062e-13
1411619025.391266,6.755000e-10,2.925000e-03,-5.123253e-01,4.939594e-13
1411619026.183639,6.255000e-10,2.825000e-03,-8.252913e-01,4.417594e-13
1411619026.975644,5.890000e-10,2.850000e-03,-3.401940e-01,4.196625e-13
1411619027.781569,6.140000e-10,3.025000e-03,-1.367661e-01,4.643375e-13
1411619028.569556,6.085000e-10,2.950000e-03,-4.497321e-01,4.487688e-13
1411619029.355325,6.605000e-10,2.875000e-03,-5.905668e-01,4.747344e-13
1411619030.152069,6.080000e-10,2.975000e-03,-2.463042e-01,4.522000e-13
1411619030.942024,6.035000e-10,2.900000e-03,-4.497321e-01,4.375375e-13
1411619031.723626,5.960000e-10,2.850000e-03,8.231006e-02,4.246500e-13
1411619032.520869,5.930000e-10,2.775000e-03,-2.306559e-01,4.113938e-13
1411619033.319932,5.960000e-10,2.800000e-03,-1.211178e-01,4.172000e-13
1411619034.092192,6.125000e-10,2.900000e-03,-5.279736e-01,4.440625e-13
1411619034.892590,6.395000e-10,3.350000e-03,-1.837110e-01,5.355812e-13
1411619035.704979,6.345000e-10,2.775000e-03,-3.401940e-01,4.401844e-13
1411619036.492605,6.340000e-10,2.875000e-03,-7.470498e-01,4.556875e-13
1411619037.307472,6.110000e-10,3.025000e-03,-4.497321e-01,4.620687e-13
1411619038.109224,6.620000e-10,3.000000e-03,-5.123253e-01,4.965000e-13
1411619038.893941,6.240000e-10,3.175000e-03,-6.688083e-01,4.953000e-13
1411619039.701709,6.220000e-10,3.175000e-03,-5.436219e-01,4.937125e-13
1411619040.505471,6.610000e-10,3.000000e-03,-4.653804e-01,4.957500e-13
1411619041.293704,6.950000e-10,3.075000e-03,-7.157532e-01,5.342813e-13
1411619042.103698,6.640000e-10,3.075000e-03,-7.417294e-02,5.104500e-13
1411619042.908104,6.935000e-10,3.075000e-03,-5.905668e-01,5.331281e-13
1411619043.693142,6.670000e-10,3.225000e-03,-1.054695e-01,5.377687e-13
1411619044.499565,6.425000e-10,3.250000e-03,-4.653804e-01,5.220312e-13
