Time,Current,Voltage,Pressure,Power
1411619586.769052,5.495000e-10,0.000000e+00,-2.169715e+00,0.000000e+00
1411619587.548408,6.140000e-10,3.300000e-03,-2.216660e+00,5.065500e-13
1411619588.315079,6.270000e-10,4.200000e-03,-2.623516e+00,6.583500e-13
1411619589.076321,7.410000e-10,2.575000e-03,-2.357495e+00,4.770188e-13
1411619589.933242,7.605000e-10,3.050000e-03,-2.639164e+00,5.798813e-13
1411619590.700610,7.660000e-10,2.775000e-03,-2.420088e+00,5.314125e-13
1411619591.472897,7.575000e-10,3.500000e-03,-2.247957e+00,6.628125e-13
1411619592.254693,7.905000e-10,3.375000e-03,-2.513978e+00,6.669844e-13
1411619593.020408,7.810000e-10,3.425000e-03,-2.388791e+00,6.687313e-13
1411619593.775685,7.295000e-10,3.625000e-03,-2.138418e+00,6.611094e-13
1411619594.527977,7.995000e-10,3.500000e-03,-2.341846e+00,6.995625e-13
1411619595.293890,7.485000e-10,3.400000e-03,-1.919342e+00,6.362250e-13
1411619596.069615,3.950000e-10,2.425000e-03,-1.449893e+00,2.394687e-13
1411619596.828715,5.730000e-10,2.050000e-03,-2.279253e+00,2.936625e-13
1411619597.594880,6.735000e-10,2.625000e-03,-2.435736e+00,4.419844e-13
1411619598.379428,6.815000e-10,3.175000e-03,-1.762859e+00,5.409406e-13
1411619599.153956,6.785000e-10,3.425000e-03,-2.247957e+00,5.809656e-13
1411619599.908252,7.355000e-10,3.575000e-03,-1.981935e+00,6.573531e-13
1411619600.685116,7.960000e-10,3.425000e-03,-2.420088e+00,6.815750e-13
1411619601.470361,7.285000e-10,3.450000e-03,-2.607867e+00,6.283312e-13
1411619602.226627,1.658500e-09,1.505000e-02,-1.637673e+00,6.240106e-12
1411619602.992614,1.762000e-09,1.550000e-02,-1.700266e+00,6.827750e-12
1411619603.911893,8.320000e-10,7.000000e-03,-2.201012e+00,1.456000e-12
1411619604.695434,1.052500e-09,5.175000e-03,-2.873889e+00,1.361672e-12
1411619605.489347,7.140000e-10,3.400000e-03,-2.670461e+00,6.069000e-13
1411619606.296606,8.645000e-10,4.275000e-03,-2.263605e+00,9.239344e-13
1411619607.086040,7.495000e-10,3.625000e-03,-2.060177e+00,6.792344e-13
1411619607.899774,7.525000e-10,3.500000e-03,-2.545274e+00,6.584375e-13
1411619608.691276,7.710000e-10,3.300000e-03,-2.826944e+00,6.360750e-13
1411619609.480432,7.015000e-10,3.600000e-03,-2.451384e+00,6.313500e-13
1411619610.285353,7.940000e-10,3.350000e-03,-2.842592e+00,6.649750e-13
1411619611.096501,7.640000e-10,3.575000e-03,-2.545274e+00,6.828250e-13
1411619611.890220,7.740000e-10,3.500000e-03,-2.420088e+00,6.772500e-13
1411619612.693608,7.325000e-10,3.725000e-03,-2.592219e+00,6.821406e-13
1411619613.499179,7.675000e-10,3.625000e-03,-2.185363e+00,6.955469e-13
1411619614.286704,8.350000e-10,3.625000e-03,-2.779999e+00,7.567188e-13
1411619615.094648,7.675000e-10,3.900000e-03,-2.748702e+00,7.483125e-13
1411619615.901381,8.235000e-10,3.625000e-03,-2.451384e+00,7.462969e-13
1411619616.688860,8.270000e-10,3.850000e-03,-2.639164e+00,7.959875e-13
1411619617.493166,8.065000e-10,3.975000e-03,-2.654812e+00,8.014594e-13
1411619618.303810,8.540000e-10,3.750000e-03,-2.905185e+00,8.006250e-13
1411619619.092558,7.745000e-10,3.850000e-03,-2.811295e+00,7.454562e-13
1411619619.899517,7.510000e-10,3.550000e-03,-2.779999e+00,6.665125e-13
1411619620.706037,1.030000e-09,3.800000e-03,-2.701757e+00,9.785000e-13
1411619621.491274,6.345000e-10,4.075000e-03,-2.764350e+00,6.463969e-13
1411619622.297477,8.310000e-10,3.925000e-03,-2.513978e+00,8.154188e-13
1411619623.103971,8.585000e-10,3.725000e-03,-2.748702e+00,7.994781e-13
1411619623.891191,7.815000e-10,3.950000e-03,-2.733054e+00,7.717313e-13
1411619624.670277,5.876500e-08,2.273250e-01,2.562463e+02,3.339688e-09
1411619625.439780,5.735000e-08,2.577750e-01,2.564341e+02,3.695849e-09
1411619626.218679,5.737500e-08,2.554750e-01,2.569035e+02,3.664470e-09
1411619626.986277,5.737500e-08,2.536750e-01,2.577798e+02,3.638651e-09
1411619627.765011,5.801500e-08,2.566000e-01,2.602366e+02,3.721662e-09
1411619628.528752,5.861500e-08,2.594750e-01,2.599863e+02,3.802282e-09
1411619629.295484,5.987000e-08,2.619250e-01,2.580302e+02,3.920362e-09
