Time,Current,Voltage,Pressure,Power
1411696840.01438,0.000000e+00,2.970750e-01,2.600323e+02,0.000000e+00
1411696840.50706,-1.000000e-10,3.253000e-01,2.605487e+02,-8.132500e-12
1411696841.13861,-2.000000e-10,3.301250e-01,2.600088e+02,-1.650625e-11
1411696841.63737,-3.000000e-10,3.341500e-01,2.608851e+02,-2.506125e-11
1411696842.14144,-4.000000e-10,3.366000e-01,2.611511e+02,-3.366000e-11
1411696842.64638,-5.000000e-10,3.388750e-01,2.609555e+02,-4.235937e-11
1411696843.12406,-6.000000e-10,3.393500e-01,2.605800e+02,-5.090250e-11
1411696843.59421,-7.000000e-10,3.403750e-01,2.604939e+02,-5.956563e-11
1411696844.11105,-8.000000e-10,3.412000e-01,2.609868e+02,-6.824000e-11
1411696844.62224,-9.000000e-10,3.411250e-01,2.608460e+02,-7.675313e-11
1411696845.11535,-1.000000e-09,3.473250e-01,2.603452e+02,-8.683125e-11
1411696845.60712,-1.100000e-09,3.470500e-01,2.599149e+02,-9.543875e-11
1411696846.0996,-1.200000e-09,3.489000e-01,2.613311e+02,-1.046700e-10
1411696846.59597,-1.300000e-09,3.480500e-01,2.597428e+02,-1.131163e-10
1411696847.11691,-1.400000e-09,3.499250e-01,2.604078e+02,-1.224737e-10
1411696847.6167,-1.500000e-09,3.496000e-01,2.608147e+02,-1.311000e-10
1411696848.11675,-1.600000e-09,3.509500e-01,2.613780e+02,-1.403800e-10
1411696848.60577,-1.700000e-09,3.497000e-01,2.613702e+02,-1.486225e-10
1411696849.09642,-1.800000e-09,3.499000e-01,2.607521e+02,-1.574550e-10
1411696849.59044,-1.900000e-09,3.495500e-01,2.609320e+02,-1.660362e-10
1411696850.10556,-2.000000e-09,3.489250e-01,2.593281e+02,-1.744625e-10
1411696850.61383,-2.100000e-09,3.483750e-01,2.591794e+02,-1.828969e-10
1411696851.12491,-2.200000e-09,3.485750e-01,2.602200e+02,-1.917163e-10
1411696851.6153,-2.300000e-09,3.476250e-01,2.602435e+02,-1.998844e-10
1411696852.09821,-2.400000e-09,3.479750e-01,2.604548e+02,-2.087850e-10
1411696852.5936,-2.500000e-09,3.472500e-01,2.601731e+02,-2.170313e-10
1411696853.11097,-2.600000e-09,3.464500e-01,2.601183e+02,-2.251925e-10
1411696853.61523,-2.700000e-09,3.462500e-01,2.609712e+02,-2.337188e-10
1411696854.11674,-2.800000e-09,3.456750e-01,2.602983e+02,-2.419725e-10
1411696854.61174,-2.900000e-09,3.449500e-01,2.602670e+02,-2.500887e-10
1411696855.09704,-3.000000e-09,3.450000e-01,2.604078e+02,-2.587500e-10
1411696855.59609,-3.100000e-09,3.443500e-01,2.598523e+02,-2.668713e-10
1411696856.1132,-3.200000e-09,3.448250e-01,2.604391e+02,-2.758600e-10
1411696856.62201,-3.300000e-09,3.441250e-01,2.604939e+02,-2.839031e-10
1411696857.11638,-3.400000e-09,3.437750e-01,2.604548e+02,-2.922088e-10
1411696857.60583,-3.500000e-09,3.436750e-01,2.599462e+02,-3.007156e-10
1411696858.09831,-3.600000e-09,3.426750e-01,2.605800e+02,-3.084075e-10
1411696858.59706,-3.700000e-09,3.419250e-01,2.603687e+02,-3.162806e-10
1411696859.11569,-3.800000e-09,3.401750e-01,2.597819e+02,-3.231662e-10
1411696859.61639,-3.900000e-09,3.386000e-01,2.592811e+02,-3.301350e-10
1411696860.15588,-4.000000e-09,3.403500e-01,2.593124e+02,-3.403500e-10
1411696860.66852,-4.100000e-09,3.399500e-01,2.593124e+02,-3.484488e-10
1411696861.16286,-4.200000e-09,3.393500e-01,2.599227e+02,-3.563175e-10
1411696861.64529,-4.300000e-09,3.405750e-01,2.610338e+02,-3.661181e-10
1411696862.13962,-4.400000e-09,3.405750e-01,2.611355e+02,-3.746325e-10
1411696862.63737,-4.500000e-09,3.400750e-01,2.619570e+02,-3.825844e-10
1411696863.18526,-4.600000e-09,3.402500e-01,2.616284e+02,-3.912875e-10
1411696863.71193,-4.700000e-09,3.392000e-01,2.611746e+02,-3.985600e-10
1411696864.28588,-4.800000e-09,3.384750e-01,2.621604e+02,-4.061700e-10
1411696864.77926,-4.900000e-09,3.374750e-01,2.611276e+02,-4.134069e-10
1411696865.27853,-5.000000e-09,3.368000e-01,2.610025e+02,-4.210000e-10
1411696865.7761,-5.100000e-09,3.361500e-01,2.607756e+02,-4.285913e-10
1411696866.29012,-5.200000e-09,3.346500e-01,2.609242e+02,-4.350450e-10
1411696866.80534,-5.300000e-09,3.342750e-01,2.607286e+02,-4.429144e-10
1411696867.33009,-5.400000e-09,3.345750e-01,2.610259e+02,-4.516762e-10
1411696867.82625,-5.500000e-09,3.338750e-01,2.606973e+02,-4.590781e-10
1411696868.29682,-5.600000e-09,3.345750e-01,2.614406e+02,-4.684050e-10
1411696868.79438,-5.700000e-09,3.335750e-01,2.611746e+02,-4.753444e-10
1411696869.31477,-5.800000e-09,3.330250e-01,2.610025e+02,-4.828863e-10
1411696869.81568,-5.900000e-09,3.325500e-01,2.610650e+02,-4.905112e-10
1411696870.31477,-6.000000e-09,3.329750e-01,2.618396e+02,-4.994625e-10
1411696870.80595,-6.100000e-09,3.321000e-01,2.616206e+02,-5.064525e-10
1411696871.29938,-6.200000e-09,3.320750e-01,2.615345e+02,-5.147163e-10
1411696871.79803,-6.300000e-09,3.345250e-01,2.617536e+02,-5.268769e-10
1411696872.31362,-6.400000e-09,3.341500e-01,2.620900e+02,-5.346400e-10
1411696872.82611,-6.500000e-09,3.341250e-01,2.626534e+02,-5.429531e-10
1411696873.33438,-6.600000e-09,3.325750e-01,2.617614e+02,-5.487488e-10
1411696873.83293,-6.700000e-09,3.324750e-01,2.620978e+02,-5.568956e-10
